method,backbone_name,lambda,alpha,beta,normalization,NDCG@10,MRR,HR@1,HR@3,NDCG@3,NDCG@5,HR@10,positive_rank_mean,positive_rank_median,candidate_pool_size_mean,candidate_pool_size_min,candidate_pool_size_max,hr10_trivial_flag,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone
C_Backbone_plus_evidence_risk,bm25,0.2,1.0,0.0,zscore,0.6603249765052752,0.5501833333333332,0.3235,0.7,0.5416019838142925,0.6296911584139854,1.0,2.69,2.0,6.0,6.0,6.0,True,0.4268333333333334,0.7595,0.7315999999999999,0.18027885823474055,0.021361204923209382,0.03434121886260377
C_Backbone_plus_evidence_risk,bm25,0.5,1.0,0.0,zscore,0.6565906043642664,0.5455083333333334,0.322,0.687,0.5326498970178634,0.6238195431503284,1.0,2.7295,2.0,6.0,6.0,6.0,True,0.47258333333333324,0.816,0.6941333333333334,0.18027885823474055,0.015585044751654908,0.025552248159173018
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,bm25,0.0,0.5,0.5,zscore,0.6864244475257799,0.5843166666666666,0.369,0.743,0.5845426862785777,0.6625585659895423,1.0,2.522,2.0,6.0,6.0,6.0,True,0.581,0.8635,0.5620666666666666,0.18027885823474055,0.06173070194033168,0.09851167162776125
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,bm25,0.05,0.5,0.5,zscore,0.6874191214631025,0.585625,0.372,0.7435,0.5854416428803634,0.6646218614881891,1.0,2.514,2.0,6.0,6.0,6.0,True,0.6068333333333332,0.908,0.5344666666666665,0.18027885823474055,0.06326921919664716,0.10097133009556641
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,bm25,0.1,0.5,0.5,zscore,0.6843977839008571,0.5816833333333333,0.3655,0.737,0.5800545457857206,0.6591070736161876,1.0,2.537,2.0,6.0,6.0,6.0,True,0.5948333333333332,0.9,0.5494,0.18027885823474055,0.058595949090484545,0.09356102146326194
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,bm25,0.2,0.5,0.5,zscore,0.6762632385781485,0.5710583333333333,0.3515,0.724,0.5668818701696493,0.6477666636095069,1.0,2.591,2.0,6.0,6.0,6.0,True,0.5734166666666666,0.887,0.5757333333333333,0.18027885823474055,0.0460137974107536,0.07358608804637333
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,bm25,0.5,0.5,0.5,zscore,0.6369582539489235,0.5195666666666666,0.287,0.6655,0.5038107131267919,0.6056120214834175,1.0,2.8255,3.0,6.0,6.0,6.0,True,0.5945,0.8885,0.5444,0.18027885823474055,-0.014781398725633662,-0.023217922606924596
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,bm25,0.0,0.75,0.25,zscore,0.6768793389837607,0.5716833333333334,0.349,0.73,0.5697447730750067,0.6505200071377671,1.0,2.572,2.0,6.0,6.0,6.0,True,0.4470833333333333,0.7705,0.7015333333333332,0.18027885823474055,0.04696675402305698,0.0747610841297199
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,bm25,0.05,0.75,0.25,zscore,0.6790613341654035,0.5746166666666666,0.354,0.729,0.5714829135678637,0.6523457951323018,1.0,2.565,2.0,6.0,6.0,6.0,True,0.48625,0.8225,0.6641999999999999,0.18027885823474055,0.05034176679276019,0.08027573241422523
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,bm25,0.1,0.75,0.25,zscore,0.6745237260705269,0.5686083333333334,0.3445,0.726,0.5658875623357211,0.645849047508331,1.0,2.589,2.0,6.0,6.0,6.0,True,0.4761666666666666,0.8095,0.674,0.18027885823474055,0.04332319709427563,0.06898010339965557
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,bm25,0.2,0.75,0.25,zscore,0.6715490988104523,0.5648,0.341,0.7195,0.5604947730750067,0.6425182130611484,1.0,2.6145,2.0,6.0,6.0,6.0,True,0.47541666666666665,0.8155,0.6798,0.18027885823474055,0.03872217639894089,0.06182046059846476
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,bm25,0.5,0.75,0.25,zscore,0.6595305009526485,0.5494583333333333,0.3295,0.6845,0.5343643184964346,0.6292528900484666,1.0,2.7175,2.0,6.0,6.0,6.0,True,0.507,0.8495,0.6631333333333332,0.18027885823474055,0.020132345593963125,0.032978223405922005
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,bm25,0.0,0.9,0.09999999999999998,zscore,0.6711345732190689,0.5641416666666667,0.3385,0.722,0.5608875623357211,0.6437066198117514,1.0,2.6065,2.0,6.0,6.0,6.0,True,0.39675,0.7045,0.7365333333333333,0.18027885823474055,0.038081006713481455,0.06058279805733993
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,bm25,0.05,0.9,0.09999999999999998,zscore,0.6681385647499677,0.5602166666666667,0.3325,0.72,0.557411281350007,0.6385733682200019,1.0,2.627,2.0,6.0,6.0,6.0,True,0.43799999999999994,0.763,0.7001999999999999,0.18027885823474055,0.033446914518216915,0.05320382265392469
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,bm25,0.1,0.9,0.09999999999999998,zscore,0.6655055560253721,0.556825,0.3295,0.712,0.5513875623357211,0.6350498415276362,1.0,2.647,2.0,6.0,6.0,6.0,True,0.4318333333333333,0.763,0.7128666666666665,0.18027885823474055,0.02937429412793731,0.04682751057496492
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,bm25,0.2,0.9,0.09999999999999998,zscore,0.663146240260545,0.5539,0.329,0.703,0.5455246594303638,0.6326905257628092,1.0,2.674,2.0,6.0,6.0,6.0,True,0.44075,0.7785,0.7183999999999998,0.18027885823474055,0.02572500979356102,0.0413285289049037
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,bm25,0.5,0.9,0.09999999999999998,zscore,0.659371825251402,0.5492083333333333,0.328,0.6885,0.536007107757149,0.627669385598788,1.0,2.7165,2.0,6.0,6.0,6.0,True,0.48191666666666666,0.8285,0.6859333333333333,0.18027885823474055,0.01988691310059466,0.0325082249725835
A_Backbone_only,tfidf_cosine,0.0,1.0,0.0,none,0.7074684893399596,0.6130083333333333,0.423,0.737,0.6046147936714341,0.6768346712486698,1.0,2.4925,2.0,6.0,6.0,6.0,True,0.0,0.0,1.0,0.03419916291742577,0.0,0.0
B_Backbone_plus_calibrated_relevance,tfidf_cosine,0.0,0.5,0.5,minmax,0.7358890776856347,0.6502583333333332,0.4755,0.7695,0.6446271283535764,0.7130918177107212,1.0,2.3125,2.0,6.0,6.0,6.0,True,0.5688333333333333,0.8565,0.5652666666666666,0.1935588335252477,0.040172232083707876,0.06076589497152007
B_Backbone_plus_calibrated_relevance,tfidf_cosine,0.0,0.75,0.25,minmax,0.7295550237558734,0.6417666666666666,0.46,0.765,0.6364601449035767,0.706045349406744,1.0,2.337,2.0,6.0,6.0,6.0,True,0.4576666666666666,0.784,0.6791999999999998,0.1935588335252477,0.031219106926613317,0.046913445983605445
B_Backbone_plus_calibrated_relevance,tfidf_cosine,0.0,0.9,0.09999999999999998,minmax,0.7261488855577841,0.6373166666666666,0.4535,0.7635,0.6329183990410769,0.7010362788666684,1.0,2.361,2.0,6.0,6.0,6.0,True,0.38641666666666663,0.699,0.7395333333333333,0.1935588335252477,0.02640456288767369,0.039654164570900416
