method,backbone_name,lambda,alpha,beta,normalization,HR@10,NDCG@10,MRR@10,Recall@10,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.1,0.75,0.25,zscore,1.0,0.5357739597356312,0.3888333333333334,1.0,0.3983333333333334,0.84,0.785333333333333,0.019216554446559255,0.030111204383186693,0.055656108597285266
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.1,0.9,0.09999999999999998,zscore,1.0,0.5280860986057953,0.37850000000000006,1.0,0.2383333333333333,0.58,0.8906666666666665,0.019216554446559255,0.015330060686890377,0.027601809954751255
C_Backbone_plus_evidence_risk,llmesr_gru4rec,0.2,1.0,0.0,zscore,1.0,0.5246995880672422,0.3741666666666667,1.0,0.24833333333333335,0.63,0.8773333333333332,0.019216554446559255,0.008818952063308481,0.015837104072398255
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.2,0.5,0.5,zscore,1.0,0.5635313549202092,0.4248333333333334,1.0,0.6433333333333333,0.96,0.5253333333333334,0.019216554446559255,0.08347924003433056,0.15339366515837116
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.2,0.75,0.25,zscore,1.0,0.5327015846633272,0.38433333333333336,1.0,0.4483333333333333,0.86,0.7493333333333331,0.019216554446559255,0.024204071480330262,0.04343891402714936
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.2,0.9,0.09999999999999998,zscore,1.0,0.5288260377849564,0.3798333333333334,1.0,0.325,0.75,0.8399999999999999,0.019216554446559255,0.016752712208424024,0.03122171945701375
C_Backbone_plus_evidence_risk,llmesr_gru4rec,0.5,1.0,0.0,zscore,1.0,0.5340123870794774,0.3883333333333334,1.0,0.4983333333333333,0.91,0.6986666666666665,0.019216554446559255,0.026724298958864624,0.05429864253393685
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.5,0.5,0.5,zscore,1.0,0.5611654924841247,0.42216666666666675,1.0,0.6650000000000001,0.96,0.428,0.019216554446559255,0.0789304907732756,0.14615384615384633
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.5,0.75,0.25,zscore,1.0,0.5218672858553796,0.37116666666666676,1.0,0.605,0.96,0.5626666666666668,0.019216554446559255,0.0033733976655572866,0.0076923076923079
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.5,0.9,0.09999999999999998,zscore,1.0,0.5290092363655593,0.38150000000000006,1.0,0.5333333333333333,0.94,0.6653333333333332,0.019216554446559255,0.017104940806094683,0.03574660633484176
